,0
0,"Вчера в туалете отдала пьяной девушке резинку для волос и она пригласила меня на свою свадьбу в январе. А как прошёл ваш день?

#Смурфы@pn6"
1,"Сидим кушаем, дочка 2 года, брат 10 лет и я. Дочка макает кусочек батона в суп к брату и съедает мякушек. Несколько крошек падает в его тарелку. И тут брат выдаёт: "" Эй,ты на кого батон крошишь?"" Вот это уровень угрозы😂

#Дети@pn6"
2,#Женщины@pn6
3,"Полгода назад у моего дедушки случился второй инсульт, после которого он так и не сумел полностью восстановиться, он почти не ходит и совсем не говорит.
... Обычное утро, дедушка как ни в чем не бывало самостоятельно пошёл на кухню, параллельно ведя беседу с бабушкой о том, что бы он хотел на завтрак. Я в недоумении бросаюсь к нему, крепко обнимаю и начинаю плакать, я не перестаю твердить: ""ты разговариваешь, дедуль, ты снова говоришь! Пожалуйста, скажи, что это уже не сон! СКАЖИ!!!"" Он только улыбается, обнимая меня и успокаивает: "" чего ты, всё же нормально."" И буквально через пару секунд звенит будильник и я понимаю, что это опять был лишь сон...😔😔😔

#Печаль@pn6"
4,"Живу в маленьком городке, в одном из тех, ""где без спроса ходят в гости, где нет зависти и злости..."". Еду на машине. Меня останавливает ГАИшник, мой старый знакомый, и говорит: ""Вчера занимал у тебя, сегодня возвращаю."" И дает мне деньги. Это был, наверное, первый случай в истории, когда ГАИшник давал деньги водителю, а не наоборот.

#Удивительное@pn6"
5,"У моей знакомой сын до 35 лет сидел у мамы на шее, но наконец-то собрался жениться на коллеге по работе и жить отдельно. Маму с невестой не познакомил, только похвастался, что она очень красивая. Знакомая, простая деревенская тетка, зная, что сын тот еще балбес, решила навести справки самостоятельно. Узнала адрес общежития, где живет красавица, и отправилась туда. Нашла соседку - подружку этой дамы. Разговорились. Соседка тоже кудахчет о красоте, но упоминает, что у будущей невестки есть дочь 12 лет, которая живет не с мамой, а с ее сестрой, потому что ""ну, сестра же все равно бездетная, пусть хоть племянницу смотрит"". Тетка прифигела и спрашивает, а где же, собсна, ребеночка папа? ""Ну, вы же понимаете, - говорит подруга. - Она же такая красивая, такая красивая! Она такая красивая, что до сих пор не знает, кто отец!"" Занавес.

#Экспонат@pn6"
6,"Дополнительный ❤, если тоже пропел😅

#Экспонат@pn6"
7,"Наш 7милетний сын увлекся фокусами. Сегодня у нас были гости, и Миша решил продемонстрировать свои умения фокусника. Показал фокусы с кольцами, с магнитами, с мячиками. Мы, естественно, его поддерживаем, смеёмся, такая милая атмосфера вокруг, и тут Миша говорит: ""Настало время моего финального номера!"". Мы все такие: ""Ууу! Да! Давай! Круто!"". Миша приносит из комнаты коробку, ушел еще куда-то, вернулся, и с интонацией максимальной грациозности, говорит: ""А теперь финальный номер!"". Мы: ""Да-да!!!"". Он: ""Распиливание кота в коробке!"". Мы: ""Даа! Так, стоп! Что?!"" И добрый Мишенька достает из-за спины огромный нож для хлеба!😆🤦‍♀p.s. Кота спасли, про такие фокусы лекцию прочитали))

#Шооок@pn6"
8,"Ваши ушки соскучились по новой и крутой музыке? Тогда это то, чего тебе не хватало! 🔥

На страже обновления плейлиста крутыми треками, его величество ""Музыкальный Флешмоб"" в Палате №6! 😎

📌 Инструкция по применению 👇
1. Голосуй за свой любимый стиль музыки;
2. Выбирай 20 человек, проголосовавших за подходящий тебе вариант.
3. Делись любимой музыкой и хорошим настроением!
4. Присылай в ""предложить новость"" скрины музыкальных переписок - лучшие попадут на стену Палаты №6 👍

Тут нет места стеснению, ведь всем известно, что музыка объединяет ❤

ТУЦ-ТУЦ-ТУЦ, ПООООЕХАЛИ! 💃💃💃"
9,"У меня две дочки, 9 и 12 лет. И вот они ведут себя как типичнейшие сёстры: постоянно ругаются, вечно спорят, кто должен убирать, а кто мыть посуду, берут одежду друг друга без спроса, и ещё куча всего. Конечно, я их и ругаю, и разнимаю, ведь ""Вы же родные сёстры!""… Но в то же время я радуюсь, что они делают все эти штуки, ведь там не только ссоры и ругань, а еще и невероятная поддержка друг друга. И я им так завидую! Завидую и грущу, что я в семье единственный ребёнок, что у меня не было и никогда больше не будет возможности ""поспорить"" с сестрой… Цените своих братьев и сестёр, это правда счастье! 😌

#Семья@pn6"
